Paths,GB2014,GB2015,GB2016,US2014,US2015,US2016
Path 1,0.01033711,0.03336011,0.02192236,0.009723338,0.03711677,0.03053943
Path 2,0.01080471,0.02492908,0.02619713,0.006258812,0.02427134,0.02121328
Path 3,0.02698726,0.04068385,0.03313449,0.01461237,0.0250503,0.02503881
Path 4,0.00578584,0.002287969,0.01284683,0.00274162,-0.002939968,0.01074165
Path 5,0.01185633,0.02791368,0.02034641,0.01091361,0.01943404,0.006084734
Path 6,0.03136095,0.01199421,0.007710938,0.03057297,0.01943949,0.01773333
Path 7,0.004720934,0.01627364,0.02409314,0.003302078,-0.00036665,0.0212268
Path 8,0.0163819,0.03406124,0.05297251,0.002044825,0.02330524,0.02756095
Path 9,0.01303688,0.03128514,0.02132941,0.01067435,0.01563551,0.008769424
Path 10,0.02921582,0.009194388,0.01374216,0.01711899,0.006147505,0.02235026
Path 11,0.003816897,0.02053056,0.03237685,-0.006793691,0.008438397,0.03637602
Path 12,0.0138512,0.02236461,0.03851774,0.008763363,0.02171088,0.03655667
Path 13,0.001642995,0.01922093,0.02827654,-0.002621967,0.003673193,0.01272142
Path 14,0.01737656,0.03525507,0.0395732,0.0173572,0.02710919,0.01950748
Path 15,0.01004703,0.01839438,0.0355008,-0.00233601,0.007047831,0.02109295
Path 16,0.01693039,0.03292506,0.02239127,0.02412486,0.02973587,0.00429514
Path 17,0.01854044,0.01609928,0.01374694,0.01329932,-0.001324931,-0.009895188
Path 18,0.02311807,0.02910305,0.04388499,0.02319586,0.02694112,0.04447471
Path 19,0.005664093,0.01365802,0.01593881,-0.005821163,0.002774038,-0.003791731
Path 20,0.01984337,0.02467863,0.04210409,0.01664798,0.04183155,0.05779717
Path 21,0.01226359,0.034228,0.03046328,-0.000832918,0.01731682,0.001691686
Path 22,0.02248172,0.02018993,0.01518093,0.02432351,0.02231153,0.01216786
Path 23,0.01990871,0.0356214,0.03737046,0.01495798,0.0275391,0.0280531
Path 24,0.0114459,0.02114144,0.01769912,0.01577977,0.02830865,0.02021199
Path 25,0.01937071,0.02667371,0.03881712,0.01703772,0.03172466,0.03841236
Path 26,-0.005064657,0.000886537,0.02647168,-0.01600039,-0.008586339,0.0120047
Path 27,0.02648152,0.03269679,0.01664755,0.01351748,0.01795067,0.0128322
Path 28,0.01110206,0.01618391,0.02613183,0.003185984,0.01701731,0.02567119
Path 29,0.02647037,0.04204837,0.03998689,0.012935,0.009903783,0.01362458
Path 30,0.001079482,0.01917965,0.05675515,0.002193875,0.006293985,0.03109166
Path 31,0.01063878,0.02210397,0.0187958,0.0124813,0.03304307,0.01916003
Path 32,0.0213807,0.03443479,0.0425758,0.02015536,0.0248803,0.02739539
Path 33,0.01600161,0.007535949,0.01672775,0.006052052,0.01234805,0.006680288
Path 34,0.01659989,0.02434757,0.03076161,-0.001501367,0.003433294,0.01544641
Path 35,0.02591931,0.04081389,0.04691574,0.02306762,0.03354222,0.03468104
Path 36,0.007476365,0.01746327,0.0421748,0.005281765,0.005651458,0.03391846
Path 37,-0.000646925,0.006515195,0.03733211,-0.004324889,0.01080976,0.03172769
Path 38,0.01947869,0.03174891,0.03124049,0.01776631,0.02918853,0.02794298
Path 39,0.005371519,0.01102784,0.03373048,-0.001820818,0.008224883,0.0269478
Path 40,0.02962328,0.04095058,0.03807909,0.01750155,0.0392503,0.02360475
Path 41,0.0226486,0.01561389,0.01270304,0.01624227,0.0142866,0.0153823
Path 42,0.003244316,0.02518544,0.04367577,0.003387232,0.03567313,0.06065245
Path 43,0.02223862,0.01011748,0.03424522,0.01762699,0.003597261,0.01013561
Path 44,-0.00962369,0.01363933,0.02970524,-0.009583106,0.02326145,0.04346448
Path 45,0.02317457,0.006980759,0.00744426,0.006875768,-0.00697987,-0.001287881
Path 46,0.02541561,0.03324443,0.04098497,0.007521612,0.02720485,0.03546857
Path 47,0.01106479,0.02689892,0.02835343,0.01565639,0.02537871,0.01953496
Path 48,0.002885534,0.01688533,0.01113323,0.000725976,0.005666477,0.006596872
Path 49,0.02520714,0.02703844,0.02281513,0.02205563,0.02890481,0.02986801
Path 50,0.02239387,0.03404818,0.05522827,0.02237694,0.035723,0.04806676
Path 51,0.03445096,0.02261865,0.02049939,0.01791532,-0.000147306,0.003783585
Path 52,0.001351347,0.01867205,0.03841914,0.006429168,0.02809567,0.03643079
Path 53,0.01221446,0.01510898,0.01849461,0.01612583,0.008674047,0.02111339
Path 54,0.009334661,0.01049795,0.02470927,0.008991022,0.01534954,0.01961147
Path 55,0.02871225,0.04337989,0.04928676,0.007499555,0.02272073,0.02884443
Path 56,0.02486881,0.01531054,0.003708501,0.02691736,0.004834313,-8.27997E-05
Path 57,0.03334478,0.03664298,0.03733126,0.02367783,0.03813094,0.04144661
Path 58,0.007730797,0.01230873,0.01822134,-0.005175719,-0.003057823,-0.000231926
Path 59,0.007749195,0.006403067,0.01578165,0.006124359,-0.00149505,0.0110815
Path 60,0.01659779,0.0281343,0.04616688,0.01449571,0.02308542,0.03849193
Path 61,0.0361375,0.04333338,0.04936089,0.03358029,0.03021012,0.02401013
Path 62,0.006073213,0.02060671,0.03898771,0.003153217,0.001221578,0.01814533
Path 63,0.002317002,0.02758558,0.02337581,0.000802979,0.04055819,0.02612668
Path 64,0.02910588,0.02944926,0.03631842,0.02751609,0.03697786,0.0555598
Path 65,-0.006898719,-0.008646954,0.009722306,-0.001328088,-0.002053777,0.004329254
Path 66,0.01824545,0.03583755,0.04001738,0.002972413,0.02193053,0.02461887
Path 67,0.02318019,0.03694041,0.0515403,0.02235418,0.04276153,0.05183746
Path 68,0.03183461,0.052702,0.05714516,0.02299889,0.03764101,0.05010254
Path 69,0.01287476,0.03072487,0.05178349,0.01464111,0.02084406,0.0500254
Path 70,0.00335426,0.03050061,0.04110556,0.00269005,0.01913626,0.02313802
Path 71,0.01692936,0.04638275,0.05840465,0.006857045,0.02305889,0.02788342
Path 72,0.01303465,0.01505622,0.02550968,0.00611446,0.01077557,0.01621526
Path 73,0.01164546,0.02678575,0.03463849,0.01571868,0.02630392,0.03140213
Path 74,0.01438294,0.02581869,0.04455864,0.01043999,0.01386238,0.02706373
Path 75,0.0123359,0.03656709,0.03273275,-0.000245754,0.03261598,0.02068306
Path 76,0.01238753,0.02602877,0.01166426,0.001459984,0.0113237,-0.004858538
Path 77,0.01670182,0.04241476,0.03978772,0.01334703,0.03732675,0.02651166
Path 78,0.00973636,0.03558606,0.03472453,0.008152162,0.02930157,0.03463237
Path 79,0.01313835,0.008108492,0.02166095,0.00440795,-0.000383042,0.006646005
Path 80,0.01218901,0.005806509,0.009221813,0.008178965,0.008770902,0.006663783
Path 81,0.01822128,0.02812941,0.05664436,0.01329647,0.01913512,0.03987388
Path 82,0.03491721,0.03534107,0.0331559,0.03047298,0.02711441,0.01639903
Path 83,0.02471254,0.03696719,0.04556044,0.01859372,0.0298493,0.02115787
Path 84,0.01551521,0.04158811,0.0527219,0.008888832,0.02138232,0.03178297
Path 85,0.02113316,0.01243845,0.01464739,0.01836445,0.01529821,0.02110185
Path 86,0.01862807,0.03592313,0.02818225,0.01446611,0.03734532,0.02812212
Path 87,0.02000507,0.03929151,0.03701168,0.01045709,0.03411869,0.02682022
Path 88,0.02628897,0.03954969,0.04994409,0.02682943,0.02678598,0.03394422
Path 89,0.02505152,0.05451677,0.04996571,0.01432133,0.04507449,0.03951672
Path 90,0.01866379,0.01424838,0.04244706,0.01262464,0.01690228,0.05815704
Path 91,0.0191701,0.02161152,0.03254229,0.0217032,0.02116699,0.02357446
Path 92,0.003324254,0.002857899,0.02131393,0.00763545,0.004837468,0.01860008
Path 93,0.009167042,0.01679144,0.0285902,0.005434364,0.01089441,0.02825973
Path 94,0.006372568,0.02753164,0.03250965,0.004138167,0.01428376,0.02155192
Path 95,0.01081067,0.01854193,0.01882721,0.005149458,0.006648491,0.01354789
Path 96,0.02103846,0.03367098,0.01086327,0.008994934,0.01958789,0.01445514
